122586.NMB0738	Q9K080
122586.NMB0796	P67259
122586.NMB0840	Q9JZZ2
122586.NMB0895	Q9JZU5
122586.NMB0928	Q9JZR5
122586.NMB0964	Q9JZN9
122586.NMB0330	Q9K155
122586.NMB0538	Q9K0P7
122586.NMB0342	P65196
122586.NMB0075	Q51152
122586.NMB1907	Q9JXS4
122586.NMB1906	P67303
122586.NMB0175	Q9K1H6
122586.NMB0088	D3JNT1
122586.NMB0088	D3JNU5
122586.NMB2160	Q1KMY6
122586.NMB1384	A0A076UBD5
122586.NMB1384	A0A076U6N7
122586.NMB1429	Q9JPI5
122586.NMB1429	Q9JPH8
122586.NMB1429	Q9JPI8
122586.NMB1429	Q9R3Q6
122586.NMB1429	Q9R3G7
122586.NMB0992	Q9JR18
122586.NMB1384	A0A076U6J7
122586.NMB0088	D3JNS6
122586.NMB1445	Q1KMW2
122586.NMB1946	Q7BMQ8
122586.NMB1384	C0J493
122586.NMB1691	Q5G954
122586.NMB1384	A0A076UBP3
122586.NMB1458	Q5UEQ6
122586.NMB0507	Q9JPE0
122586.NMB1392	O70088
122586.NMB1384	C0J491
122586.NMB0413	Q71F74
122586.NMB0073	H6T5Y1
122586.NMB0516	Q9JPD8
122586.NMB1220	Q9JPH5
122586.NMB0074	B3FHE0
122586.NMB1782	Q7AX71
122586.NMB0509	Q9JPE3
122586.NMB0071	Q547A8
122586.NMB1723	E1AA16
122586.NMB0068	A8V8Z7
122586.NMB0088	D3JNT8
122586.NMB1777	Q9JPE4
122586.NMB0079	H6T5Y6
122586.NMB0508	Q7AX63
122586.NMB1591	Q6RV04
122586.NMB0506	Q9JPE1
122586.NMB1738	Q9JPK4
122586.NMB1770	Q9JRU8
122586.NMB0079	M5DAI2
122586.NMB0072	B3FHD2
122586.NMB0080	M5D5W1
122586.NMB0533	Q1KMX5
122586.NMB0033	Q9JPI6
122586.NMB1384	A0A076UBP8
122586.NMB0073	B3FHE1
122586.NMB0533	Q1KMX0
122586.NMB0413	Q51098
122586.NMB0358	A5JSM4
122586.NMB1384	C0J489
122586.NMB0083	H6T632
122586.NMB2160	Q1KMY5
122586.NMB1384	A0A076U6K3
122586.NMB0035	Q0PMP6
122586.NMB0510	Q9JR23
122586.NMB0079	M5D5H2
122586.NMB0606	C5I5R5
122586.NMB1780	Q9JPJ5
122586.NMB0070	Q79DD9
122586.NMB1946	Q9JPG4
122586.NMB0064	M5D5S0
122586.NMB0081	M5D5Z3
122586.NMB1704	Q8KHW1
122586.NMB0413	Q7WS12
122586.NMB0073	B3FHD1
122586.NMB1946	Q9JPG6
122586.NMB0663	P96943
122586.NMB0077	Q51153
122586.NMB1384	A0A076UBF6
122586.NMB0077	M5D6G7
122586.NMB0069	A8V931
122586.NMB1162	Q9JPG2
122586.NMB1870	D3IQ51
122586.NMB1870	D3IQ96
122586.NMB1870	D3IQB5
122586.NMB1994	D3IRC5
122586.NMB1994	D3IRF2
122586.NMB1994	D3IRF5
122586.NMB0790	C6KC89
122586.NMB1870	W6B0F7
122586.NMB1994	D3IRC7
122586.NMB0082	H6T5Z3
122586.NMB1870	D3IQD5
122586.NMB0071	Q8KS23
122586.NMB1870	D3IQE4
122586.NMB1994	D3IR95
122586.NMB0080	E0YJB1
122586.NMB1870	D3IQP4
122586.NMB0083	H6T647
122586.NMB1057	Q76KT1
122586.NMB1717	Q9ETS1
122586.NMB0790	C6KCB2
122586.NMB0082	H6T648
122586.NMB1870	D3IQ69
122586.NMB1870	D3IQB7
122586.NMB1870	W6ARX2
122586.NMB0080	M5D5J2
122586.NMB0071	Q8KS22
122586.NMB1870	W6ARW3
122586.NMB0080	M5D576
122586.NMB1870	D3IQC9
122586.NMB1341	O68416
122586.NMB1870	D3IQ86
122586.NMB1870	D3IQ81
122586.NMB1994	D3IR20
122586.NMB1988	W6ARK1
122586.NMB1870	C0JF52
122586.NMB1870	D3IQN4
122586.NMB0075	H6T621
122586.NMB1870	D3IQB0
122586.NMB1994	D3IR75
122586.NMB1668	B6DYJ0
122586.NMB0790	O54612
122586.NMB1900	O54643
122586.NMB1930	Q932S6
122586.NMB1448	Q1KN02
122586.NMB1870	B2CQ11
122586.NMB1870	D3IQ74
122586.NMB1994	D3IR58
122586.NMB0515	Q9JPD9
122586.NMB1946	Q9JPI7
122586.NMB0083	H6T5Z0
122586.NMB1870	W6AQ66
122586.NMB0358	O54668
122586.NMB0068	Q6VNR7
122586.NMB0358	Q8KHL5
122586.NMB2132	A0A024A4M7
122586.NMB1392	O68411
122586.NMB1900	O54527
122586.NMB1870	C0JF47
122586.NMB1392	C6KAY1
122586.NMB0067	Q83TU5
122586.NMB1870	L0GEB9
122586.NMB1051	O54638
122586.NMB1995	Q8KI77
122586.NMB1870	Q6QCB6
122586.NMB1458	Q9R410
122586.NMB0035	Q0PMQ6
122586.NMB1052	Q9WW49
122586.NMB0634	Q57181
122586.NMB1870	L0GEI8
122586.NMB1384	E7EC23
122586.NMB0083	Q93JT0
122586.NMB1540	H8ZXI4
122586.NMB1995	Q8KI78
122586.NMB0079	M5D5B8
122586.NMB1668	B6DYK7
122586.NMB1870	L0GG44
122586.NMB1928	Q2TIJ4
122586.NMB1870	A0A024A2U1
122586.NMB0700	Q537T4
122586.NMB0035	Q0PMP4
122586.NMB0035	Q0PMP2
122586.NMB0413	Q99QH0
122586.NMB0790	O52440
122586.NMB0070	Q6VNH0
122586.NMB0358	O52414
122586.NMB1870	C0JF76
122586.NMB1051	O54609
122586.NMB1640	O88149
122586.NMB1053	Q51229
122586.NMB0082	H6T5Y9
122586.NMB0497	F5A7V2
122586.NMB0497	F5A7W1
122586.NMB1870	C0JFC1
122586.NMB0071	H6T5X9
122586.NMB0497	F5A7V8
122586.NMB1900	O54528
122586.NMB1429	Q30HL1
122586.NMB1051	O54603
122586.NMB0132	Q9EU75
122586.NMB0823	Q9R452
122586.NMB0067	Q6VNL6
122586.NMB1341	O68417
122586.NMB1995	Q8KHS5
122586.NMB1458	Q9R316
122586.NMB0790	O54656
122586.NMB0700	Q537T8
122586.NMB0073	M5D5A5
122586.NMB1341	O68422
122586.NMB1900	O54606
122586.NMB0962	Q1KMV9
122586.NMB0070	Q6VNH6
122586.NMB1995	Q8KH45
122586.NMB0071	Q6VNG7
122586.NMB1669	Q99QN8
122586.NMB0027	Q57271
122586.NMB1220	Q9JRD6
122586.NMB0072	H6T642
122586.NMB0413	Q83TB1
122586.NMB1971	F8TTN1
122586.NMB1929	Q2TIJ5
122586.NMB1458	Q9XDC6
122586.NMB1995	Q8KHB9
122586.NMB1900	O54607
122586.NMB1926	Q8KH92
122586.NMB1900	O54617
122586.NMB1995	Q8KI58
122586.NMB0072	E0YJC1
122586.NMB0928	D2DWE9
122586.NMB0082	H6T633
122586.NMB0079	H6T636
122586.NMB0069	M5D564
122586.NMB0079	H6T624
122586.NMB0700	Q79AB4
122586.NMB1162	Q9JPI2
122586.NMB1870	C0JFG6
122586.NMB0413	Q51141
122586.NMB0071	C1JZ23
122586.NMB0071	D8WXV3
122586.NMB0085	M5D4V6
122586.NMB0070	M5D567
122586.NMB0068	Q6VNL7
122586.NMB0413	Q6WDQ0
122586.NMB1051	Q8G893
122586.NMB0035	Q0PMP9
122586.NMB0790	O54570
122586.NMB0132	Q9ETT6
122586.NMB1341	O68414
122586.NMB1341	O70060
122586.NMB1929	Q8KI22
122586.NMB1445	Q712M3
122586.NMB1723	E1AA24
122586.NMB1994	Q8KUJ1
122586.NMB1723	E1AA77
122586.NMB1540	H8ZXK0
122586.NMB0790	O52438
122586.NMB0790	O52444
122586.NMB1220	Q7BMP7
122586.NMB1341	O70056
122586.NMB1668	B6DYI1
122586.NMB0075	M5D569
122586.NMB1717	Q9EU83
122586.NMB2039	Q9R3T9
122586.NMB0413	Q7WSA0
122586.NMB0070	Q6VNF0
122586.NMB0413	Q7WS39
122586.NMB2132	Q9JQW0
122586.NMB2001	Q9JR56
122586.NMB0413	Q7WS18
122586.NMB1870	Q6VS06
122586.NMB0515	F5A7T1
122586.NMB0700	Q57386
122586.NMB2001	Q9JPH6
122586.NMB1970	S5REL8
122586.NMB0359	P97200
122586.NMB0083	M5D4P4
122586.NMB1723	E1AA84
122586.NMB1929	Q8KI61
122586.NMB1640	O54532
122586.NMB1870	A0A024A3X5
122586.NMB0700	Q79AB0
122586.NMB0071	Q7WRT8
122586.NMB1341	O70114
122586.NMB0790	O52441
122586.NMB1341	O70111
122586.NMB0413	Q83UB1
122586.NMB1664	Q99QP6
122586.NMB0823	O52410
122586.NMB0358	O52416
122586.NMB1946	Q9JR07
122586.NMB1971	F8TTN5
122586.NMB0413	Q7WRP8
122586.NMB1870	D3IQA3
122586.NMB1870	D3IQE3
122586.NMB1994	D3IRD7
122586.NMB0079	A8V909
122586.NMB1870	D3IQL1
122586.NMB1994	D3IR17
122586.NMB1870	D3IQH2
122586.NMB1994	D3IR38
122586.NMB1448	Q9JPG8
122586.NMB1870	D3JZH0
122586.NMB0503	Q7AX66
122586.NMB1737	Q9X581
122586.NMB1994	D3IR53
122586.NMB1994	D3IRF3
122586.NMB0082	H6T628
122586.NMB1994	D3IR68
122586.NMB1994	D3IR11
122586.NMB1870	D3IQ89
122586.NMB1994	D3IRF7
122586.NMB0083	M5D666
122586.NMB1418	B8Y3V7
122586.NMB1870	D3IQC8
122586.NMB1994	D3IR33
122586.NMB1994	D3IR96
122586.NMB1870	D3IQM2
122586.NMB1870	D3IQ72
122586.NMB1870	D3IQF0
122586.NMB1994	D3IRE1
122586.NMB1870	D3IQ80
122586.NMB1994	D3IRI1
122586.NMB0520	F5A7T3
122586.NMB1994	D3IRC2
122586.NMB1870	D3IQ71
