83332.Rv2007c	P9WNE7
83332.Rv0407	P9WNE1
83332.Rv0020c	P71590
83332.Rv0019c	P9WJB5
83332.Rv2688c	P9WQL7
83332.Rv2686c	P9WJB3
83332.Rv2687c	P9WJB1
83332.Rv1406	P9WND3
83332.Rv3607c	P9WNC5
83332.Rv3356c	P9WG81
83332.Rv2924c	P9WNC3
83332.Rv0944	L0T864
83332.Rv3106	P9WIQ3
83332.Rv0886	P9WJI1
83332.Rv1552	P9WN91
83332.Rv1553	P9WN89
83332.Rv1554	P9WNB7
83332.Rv1555	P9WNB5
83332.Rv3102c	O05779
83332.Rv3610c	P9WQN3
83332.Rv2748c	P9WNA3
83332.Rv2151c	P9WNA1
83332.Rv0017c	P9WN99
83332.Rv2154c	P9WN97
83332.Rv3101c	P9WG19
83332.Rv2921c	P9WGD9
83332.Rv2150c	P9WN95
83332.Rv1098c	P9WN93
83332.Rv1909c	P9WN87
83332.Rv1436	P9WN83
83332.Rv1121	P9WN71
83332.Rv1447c	P9WN73
83332.Rv0946c	P9WN69
83332.Rv0234c	P9WNX9
83332.Rv1731	P9WNX7
83332.Rv2589	P9WQ79
83332.Rv0620	P9WN63
83332.Rv3634c	P9WN67
83332.Rv1827	P9WJA9
83332.Rv3011c	P9WQA1
83332.Rv3009c	P9WN61
83332.Rv3012c	P9WN59
83332.Rv3609c	P9WN57
83332.Rv0433	P9WPK9
83332.Rv1826	P9WN55
83332.Rv1832	P9WN53
83332.Rv2211c	P9WN51
83332.Rv3782	P9WMX3
83332.Rv3808c	O53585
83332.Rv3809c	P9WIQ1
83332.Rv1212c	P9WMZ1
83332.Rv1326c	P9WN45
83332.Rv1213	P9WN43
83332.Rv1327c	P9WQ17
83332.Rv3032	P9WMY9
83332.Rv1564c	P9WQ25
83332.Rv3441c	P9WN41
83332.Rv3436c	P9WN49
83332.Rv1018c	P9WMN3
83332.Rv2220	P9WN39
83332.Rv2222c	P9WN37
83332.Rv2919c	P9WN31
83332.Rv2918c	P9WN29
83332.Rv2221c	P9WN27
83332.Rv2249c	P9WN81
83332.Rv3302c	P9WN79
83332.Rv3696c	P9WPK1
83332.Rv3842c	P9WMU3
83332.Rv1099c	P9WN21
83332.Rv1373	P9WGB9
83332.Rv3859c	P96218
83332.Rv3858c	P9WN19
83332.Rv2957	P9WMX7
83332.Rv2958c	P9WFR1
83332.Rv1093	P9WGI9
83332.Rv0070c	P9WGI7
83332.Rv1500	P9WMX5
83332.Rv0113	P9WGG1
83332.Rv0114	P9WMV3
83332.Rv1422	P9WMU5
83332.Rv0564c	P9WN75
83332.Rv2982c	P9WN77
83332.Rv2419c	P9WIC7
83332.Rv1208	P9WMW9
83332.Rv0489	P9WIC9
83332.Rv1080c	P9WMT9
83332.Rv0351	P9WMT5
83332.Rv0524	P9WMN9
