214684.XP_571771.1	Q9HDD6
214684.XP_571487.1	G9JYU9
214684.XP_570943.1	B0L223
214684.XP_571061.1	Q1W4D8
214684.XP_570204.1	B0L2E3
214684.XP_571804.1	B0L2R3
214684.XP_572079.1	A0A060IKX4
214684.XP_568719.1	Q8J0C6
214684.XP_568105.1	B9U0Q7
214684.XP_571083.1	Q1W4M8
214684.XP_570122.1	Q96TL0
214684.XP_568462.1	B0L328
214684.XP_571804.1	A0A059XSK3
214684.XP_571059.1	Q1W4F8
214684.XP_571077.1	Q1W4K1
214684.XP_570480.1	Q8J0V7
214684.XP_570122.1	Q9HDM0
214684.XP_569526.1	Q1W4P0
214684.XP_567017.1	A0A059XSR2
214684.XP_569785.1	Q5ER97
214684.XP_570285.1	Q9C0T2
214684.XP_570943.1	G9K103
214684.XP_572079.1	O13404
214684.XP_571077.1	Q1W4K0
214684.XP_570122.1	Q96TM9
214684.XP_568399.1	B9U0Y0
214684.XP_566947.1	Q1W4R0
214684.XP_571804.1	Q59J46
214684.XP_571804.1	Q59J43
214684.XP_572079.1	A0A060IEZ5
214684.XP_571880.1	Q8J0A3
214684.XP_566808.1	Q5KNW1
214684.XP_572210.1	Q5KC87
214684.XP_567029.1	Q5KNB1
214684.XP_570721.1	Q5KHF4
214684.XP_566829.1	Q5KP14
214684.XP_568662.1	Q5K6X5
214684.XP_569473.1	Q5KKR6
214684.XP_567644.1	Q5K9T6
214684.XP_568526.1	Q5K7E0
214684.XP_568922.1	Q5KM01
214684.XP_572968.1	Q5KBS8
214684.XP_568998.1	Q5KMX5
214684.XP_570623.1	Q5KI96
214684.XP_568625.1	Q5K778
214684.XP_572283.1	Q5KCG1
214684.XP_568046.1	Q5K8N4
214684.XP_567141.1	Q5KPU4
214684.XP_567583.1	Q5KA50
214684.XP_571624.1	Q5KEM7
214684.XP_568856.1	Q5KM75
214684.XP_571847.1	Q5KE75
214684.XP_568706.1	Q5K6U9
214684.XP_570207.1	Q5KII0
214684.XP_568882.1	Q5KM47
214684.XP_567094.1	Q5KPR6
214684.XP_570672.1	Q5KIC5
214684.XP_572547.1	Q5KCD0
214684.XP_568200.1	Q5K861
214684.XP_570528.1	Q5KHL1
214684.XP_569736.1	Q5KK01
214684.XP_570975.1	Q5KGF2
214684.XP_569817.1	Q5KJN3
214684.XP_571090.1	Q5KHF2
214684.XP_567286.1	Q5KAW0
214684.XP_571502.1	Q5KFI1
214684.XP_566787.1	Q5KNX1
214684.XP_568687.1	Q5K6Y0
214684.XP_570992.1	Q5KGP5
214684.XP_572328.1	Q5KCL1
214684.XP_570004.1	Q5KK57
214684.XP_568927.1	Q5KLZ7
214684.XP_571990.1	Q5KDS1
214684.XP_571265.1	Q5KFM8
214684.XP_572142.1	Q5KDB4
214684.XP_572281.1	Q5KCF9
214684.XP_568403.1	Q5K7X1
214684.XP_568293.1	Q5K7M8
214684.XP_568396.1	Q5K7Y4
214684.XP_566616.1	Q5KPM4
214684.XP_571293.1	Q5KFX8
214684.XP_568635.1	Q5K773
214684.XP_568485.1	Q5K7P7
214684.XP_572543.1	Q5K905
214684.XP_570215.1	Q5KII7
214684.XP_568870.1	Q5KM62
214684.XP_568816.1	Q5KMJ9
214684.XP_570226.1	Q5KIJ3
214684.XP_571710.1	Q5KEV2
214684.XP_569132.1	Q5KME0
214684.XP_571256.1	Q5KFP1
214684.XP_572837.1	Q5KBN1
214684.XP_568097.1	Q5K8I0
214684.XP_568172.1	Q5K893
214684.XP_571087.1	Q5KHF3
214684.XP_571492.1	Q5KFI9
214684.XP_571911.1	Q5KE16
214684.XP_572093.1	Q5KDE8
214684.XP_572493.1	Q5KD43
214684.XP_570531.1	Q5KHL9
214684.XP_571393.1	Q5KF38
214684.XP_572776.1	Q5KC18
214684.XP_571176.1	Q5KG65
214684.XP_571016.1	Q5KG41
214684.XP_570802.1	Q5KH99
214684.XP_570878.1	Q5KGW3
214684.XP_568914.1	Q5KM09
214684.XP_569745.1	Q5KJT4
214684.XP_568979.1	Q5KLL2
214684.XP_568358.1	Q5K816
214684.XP_570921.1	Q5KGH9
214684.XP_572008.1	Q5KDR2
214684.XP_569140.1	Q5KMD1
214684.XP_567856.1	Q5K9B0
214684.XP_569504.1	Q5K8H5
214684.XP_569468.1	Q5KKS0
214684.XP_569756.1	Q5KJS5
214684.XP_567906.1	Q5K953
214684.XP_572806.1	Q5KBR2
214684.XP_571857.1	Q5KE69
214684.XP_569642.1	Q5KKF2
214684.XP_567925.1	Q5K932
214684.XP_569956.1	Q5KL41
214684.XP_568896.1	Q5KM29
214684.XP_567089.1	Q5KPY7
214684.XP_568457.1	Q5K817
214684.XP_572400.1	Q5KCU5
214684.XP_571801.1	Q5KEA1
214684.XP_572356.1	Q5KCP8
214684.XP_571006.1	Q5KG47
214684.XP_567166.1	Q5KP34
214684.XP_572532.1	Q5K920
214684.XP_569850.1	Q5KJC6
214684.XP_571235.1	Q5KFU4
214684.XP_572115.1	Q5KDD5
214684.XP_571959.1	Q5KDY8
214684.XP_572537.1	Q5K914
214684.XP_571154.1	Q5KG14
214684.XP_572533.1	Q5K918
214684.XP_572580.1	Q5K904
214684.XP_572538.1	Q5K913
214684.XP_572586.1	Q5K908
214684.XP_572544.1	Q5K903
214684.XP_572578.1	Q5K919
214684.XP_572535.1	Q5K916
214684.XP_572531.1	Q5K921
214684.XP_571048.1	Q5KG11
214684.XP_572545.1	Q5K902
214684.XP_572534.1	Q5K917
214684.XP_571173.1	Q5KG13
214684.XP_572539.1	Q5K911
214684.XP_572529.1	Q5K923
214684.XP_571050.1	Q5KG09
214684.XP_572581.1	Q5K909
214684.XP_572540.1	Q5K910
214684.XP_570122.1	B9A0N5
214684.XP_572854.1	F5H9F1
214684.XP_569882.1	Q5KJK4
214684.XP_571047.1	Q5KG15
214684.XP_571049.1	Q5KG10
214684.XP_572528.1	Q5K924
214684.XP_566768.1	E3P6S0
214684.XP_572079.1	E0XFW5
214684.XP_568571.1	Q9UR20
214684.XP_572079.1	Q9UR57
214684.XP_572925.1	Q8WZG9
214684.XP_568399.1	K9JZX8
214684.XP_567017.1	E0XG09
214684.XP_567800.1	Q75PP2
214684.XP_571627.1	C7BUA9
214684.XP_572365.1	E1VDJ2
