9796.ENSECAP00000011886	K9KE98
9796.ENSECAP00000002289	Q4JIJ9
9796.ENSECAP00000016524	Q7JJ05
9796.ENSECAP00000011804	Q9XS33
9796.ENSECAP00000023103	G8D089
9796.ENSECAP00000012919	F7D685
9796.ENSECAP00000016925	F6V769
9796.ENSECAP00000023112	G8D134
9796.ENSECAP00000023113	G4RJ01
9796.ENSECAP00000009948	B7X6D7
9796.ENSECAP00000004854	F7BSG9
9796.ENSECAP00000023105	A5JYD2
9796.ENSECAP00000003702	F6QRR0
9796.ENSECAP00000022552	F6RUH5
9796.ENSECAP00000007435	A8R5L7
9796.ENSECAP00000011389	F6ZMC3
9796.ENSECAP00000016418	F7A364
9796.ENSECAP00000003368	F6SPW5
9796.ENSECAP00000000857	B3SPX1
9796.ENSECAP00000020637	F6VHY1
9796.ENSECAP00000023113	G4RIY6
9796.ENSECAP00000010935	A1YAF7
9796.ENSECAP00000023113	I3NQ04
9796.ENSECAP00000009370	C6L1J5
9796.ENSECAP00000008625	F6PUP7
9796.ENSECAP00000006165	F7AZR5
9796.ENSECAP00000023101	G4RIR9
9796.ENSECAP00000011720	F7BMJ8
9796.ENSECAP00000011110	B1AB90
9796.ENSECAP00000009635	F6ZX10
9796.ENSECAP00000017649	A8CWP2
9796.ENSECAP00000018273	Q30486
9796.ENSECAP00000013418	F6W578
9796.ENSECAP00000003412	Q866V7
9796.ENSECAP00000022385	A8C9U1
9796.ENSECAP00000023101	A5JYB5
9796.ENSECAP00000017097	F7DY14
9796.ENSECAP00000023103	M4I5K8
9796.ENSECAP00000019619	F6Z2T8
9796.ENSECAP00000023113	Q2PXA5
9796.ENSECAP00000003703	F6SBR6
9796.ENSECAP00000007148	Q0W9Q6
9796.ENSECAP00000006177	F6UM66
9796.ENSECAP00000001478	F6VYA7
9796.ENSECAP00000018185	F6U8C2
9796.ENSECAP00000002220	F6X7P2
9796.ENSECAP00000016524	Q9TQR7
9796.ENSECAP00000008172	F6PPX7
9796.ENSECAP00000003444	F6RC01
9796.ENSECAP00000001597	F6TA88
9796.ENSECAP00000013353	B1AB81
9796.ENSECAP00000009185	A8J714
9796.ENSECAP00000003311	E0A9E2
9796.ENSECAP00000019542	F6XF35
9796.ENSECAP00000007483	F6YF82
9796.ENSECAP00000017481	F7D8B0
9796.ENSECAP00000000501	F7DX98
9796.ENSECAP00000015094	Q6TGR2
9796.ENSECAP00000008442	F6SN70
9796.ENSECAP00000001646	F6TAB0
9796.ENSECAP00000019658	F6YVN4
9796.ENSECAP00000005738	Q0W9Q0
9796.ENSECAP00000023108	D3GDB4
9796.ENSECAP00000015103	F6SBI2
9796.ENSECAP00000013976	F6QI84
9796.ENSECAP00000004376	F7AWD2
9796.ENSECAP00000003164	Q4W445
9796.ENSECAP00000013227	Q9GKL1
9796.ENSECAP00000023101	G4RIT2
9796.ENSECAP00000008217	F6SAB2
9796.ENSECAP00000011657	F6ZSM5
9796.ENSECAP00000015993	B3VH88
9796.ENSECAP00000011087	F6ZI51
