198214.SF3374	P0AEX6
198214.SF1102	P0A721
198214.SF3828	Q83PJ2
198214.SF4169	Q83IP5
198214.SF1283	P0ACV5
198214.SF2631	P60788
198214.SF0069	Q83SP0
198214.SF0068	Q83SP1
198214.SF0067	Q821C2
198214.SF0066	P59714
198214.SF4162	P0A7C5
198214.SF0844	P0A8P2
198214.SF2838	P60960
198214.SF1678	P0AC83
198214.SF3686	Q83PM9
198214.SF0653	P60719
198214.SF0651	Q7UDD0
198214.SF3473	P0A9S9
198214.SF3644	Q83PP7
198214.SF3643	P0ACL8
198214.SF0625	Q820C8
198214.SF0850	P61319
198214.SF1212	P61322
198214.SF1121	Q83RS0
198214.SF0074	P0ADF2
198214.SF3842	P62529
198214.SF2845	Q83QB9
198214.SF0070	P0AD82
198214.SF4243	Q83P61
198214.SF1706	P69780
198214.SF3855	P0ADF5
198214.SF3240	P0ADV4
198214.SF3241	P0A9V4
198214.SF3239	P0ADW2
198214.SF0051	Q83SQ0
198214.SF0640	Q83LX4
198214.SF4228	P0AFA1
198214.SF0001	P0AD88
198214.SF0171	P0A724
198214.SF0172	Q83SL3
198214.SF0093	P0A728
198214.SF0169	P65324
198214.SF0455	Q83M28
198214.SF0911	Q83RY7
198214.SF1865	P59198
198214.CP0238	O06659
198214.SF2444	P0ACV3
198214.SF0848	P0ACJ3
198214.SF0023	Q83MH1
198214.SF1583	Q83L12
198214.SF1584	Q83RD8
198214.SF1585	P0AFS2
198214.SF1578	Q83L15
198214.SF1577	Q83L16
198214.SF2714	Q83JZ4
198214.SF0838	P64177
198214.SF0839	Q83LR7
198214.SF4172	Q83P81
198214.SF4173	P68186
198214.SF4170	Q7UBD0
198214.SF1636	Q83KZ1
198214.SF1746	Q83ML6
198214.SF0158	P0AE21
198214.SF1563	P0ACH7
198214.SF1565	P0AEY2
198214.SF3015	P59663
198214.SF0956	P0A8N2
198214.SF0974	P0ACD9
198214.SF3041	P0ACE2
198214.SF0973	Q83RW9
198214.SF3276	Q83Q04
198214.SF2139	Q83KI5
198214.SF2141	Q83KI4
198214.SF2142	Q83QZ0
198214.SF1071	Q83LI8
198214.SF1620	Q83RD1
198214.SF1621	P69214
198214.SF3752	Q83PL6
198214.SF4142	Q83P86
198214.SF4141	Q83IQ8
198214.SF4140	Q83P87
198214.SF2223	Q83KF5
198214.SF2340	Q83QT6
198214.SF2343	Q821B0
198214.SF2342	Q83QT4
198214.SF2404	P0C0T6
198214.SF1866	P0AFT1
198214.SF2262	P0AFV7
198214.SF3907	Q83IW0
198214.SF4019	P0AEZ2
198214.SF4016	P0A8U9
198214.SF2933	P0A820
198214.SF0190	Q83MC5
