,dG0_prime,dG0_prime_std,dGm_prime,logRI,formula
"{u'C00078': 1, u'C00065': -1, u'C00118': 1, u'C00001': 1, u'C03506': -1}",-30.53,3.17,-30.53,-6.16,C00065 + C03506 <=> C00001 + C00078 + C00118
"{u'C00593': 1, u'C05123': -1, u'C00125': -2.0, u'C00126': 2.0, u'C00080': 2.0}",-44.84,282842.71,-44.84,-6.03,2 C00125 + C05123 <=> 2 C00080 + 2 C00126 + C00593
"{u'C00006': -1, u'C00005': 1, u'C00080': 1, u'C00257': -1, u'C06473': 1}",15.94,0.89,15.94,3.22,C00006 + C00257 <=> C00005 + C00080 + C06473
"{u'C00010': 1, u'C00024': -1, u'C05263': 1, u'C05274': -1}",32.46,1.35,32.46,6.55,C00024 + C05274 <=> C00010 + C05263
"{u'C02269': -1, u'C00002': -1, u'C00676': 1, u'C00008': 1}",5.47,0.0,5.47,1.1,C00002 + C02269 <=> C00008 + C00676
"{u'C14818': -1, u'C02191': -1, u'C00032': 1, u'C00080': 2.0}",3.24,0.0,20.35,5.48,C02191 + C14818 <=> C00032 + 2 C00080
"{u'C01146': 1, u'C00168': -1}",1.41,1.75,1.41,0.57,C00168 <=> C01146
"{u'C00024': -1, u'C00083': 1, u'C00009': 1, u'C00008': 1, u'C00002': -1, u'C00288': -1}",-6.05,1.53,-6.05,-0.81,C00002 + C00024 + C00288 <=> C00008 + C00009 + C00083
"{u'C04180': 1, u'C05754': -1}",0.0,0.0,0.0,0.0,C05754 <=> C04180
"{u'C05715': -1, u'C00014': 1, u'C00001': -2.0, u'C00302': 1}",1.32,70710.68,-15.79,-4.25,2 C00001 + C05715 <=> C00014 + C00302
"{u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C11970': 1, u'C11969': -1}",-379.8,17.08,-362.69,-58.55,C00005 + C00007 + C11969 <=> C00001 + C00006 + C11970
"{u'C18015': 1, u'C00003': -1, u'C18016': -1, u'C00004': 1, u'C00080': 1}",-44.88,0.0,-44.88,-9.06,C00003 + C18016 <=> C00004 + C00080 + C18015
"{u'C12422': 1, u'C00019': -1, u'C12421': -1, u'C00021': 1}",57.56,100000.0,57.56,11.62,C00019 + C12421 <=> C00021 + C12422
"{u'C00011': 1, u'C00826': -1, u'C00001': 1, u'C00079': 1}",-78.64,8.91,-95.76,-25.77,C00826 <=> C00001 + C00011 + C00079
"{u'C00025': -1, u'C16153': 1, u'C00026': 1, u'C16155': -1}",26.45,2.39,26.45,5.34,C00025 + C16155 <=> C00026 + C16153
"{u'C00001': -3.0, u'C00094': 1, u'C00283': -1, u'C00030': 1, u'C00028': -1}",-258.57,0.0,-258.57,-52.18,3 C00001 + C00028 + C00283 <=> C00030 + C00094
"{u'C00861': 1, u'C00507': -1}",0.18,1.71,0.18,0.07,C00507 <=> C00861
"{u'C07289': 1, u'C00030': -1, u'C00007': -1, u'C01595': -1, u'C00028': 1, u'C00001': 1}",0.0,0.0,17.11,2.76,C00007 + C00030 + C01595 <=> C00001 + C00028 + C07289
"{u'C01260': 1, u'C00224': -1, u'C00002': -1, u'C00059': 1}",-49.12,9.37,-49.12,-9.91,C00002 + C00224 <=> C00059 + C01260
"{u'C00788': 1, u'C00019': -1, u'C00021': 1, u'C00547': -1}",20.75,100000.0,20.75,4.19,C00019 + C00547 <=> C00021 + C00788
"{u'C00224': 1, u'C00094': -1, u'C00020': -1, u'C00030': 1, u'C00028': -1}",-37.76,0.0,-20.64,-3.33,C00020 + C00028 + C00094 <=> C00030 + C00224
"{u'C00078': -1, u'C19716': 1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00080': -1, u'C00001': 1}",-228.65,100000.0,-211.54,-34.15,C00005 + C00007 + C00078 + C00080 <=> C00001 + C00006 + C19716
"{u'C00937': 1, u'C02912': -1, u'C00004': 1, u'C00003': -1, u'C00080': 1}",20.62,1.01,20.62,4.16,C00003 + C02912 <=> C00004 + C00080 + C00937
"{u'C00011': 1, u'C00030': -1, u'C00007': -1, u'C00028': 1, u'C01020': -1, u'C01059': 1, u'C00001': 1}",128.12,0.0,128.12,17.24,C00007 + C00030 + C01020 <=> C00001 + C00011 + C00028 + C01059
"{u'C11867': 1, u'C11866': -1}",0.0,0.0,0.0,0.0,C11866 <=> C11867
"{u'C00080': 1, u'C00006': -1, u'C00005': 1, u'C04471': 1, u'C00204': -1}",16.32,3.76,16.32,3.29,C00006 + C00204 <=> C00005 + C00080 + C04471
"{u'C00011': 1, u'C06555': -1, u'C00014': 1, u'C00001': -1, u'C00086': 1}",-79.21,7.52,-113.44,-22.89,C00001 + C06555 <=> C00011 + C00014 + C00086
"{u'C00389': -1, u'C00029': -1, u'C00015': 1, u'C05623': 1}",-66.36,2.7,-66.36,-13.39,C00029 + C00389 <=> C00015 + C05623
"{u'C00450': 1, u'C00408': -1, u'C00028': -1, u'C00030': 1}",-128.28,0.0,-128.28,-25.89,C00028 + C00408 <=> C00030 + C00450
"{u'C07073': -1, u'C16560': 1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00080': -1, u'C00001': 1}",-439.01,3.57,-421.89,-68.11,C00005 + C00007 + C00080 + C07073 <=> C00001 + C00006 + C16560
"{u'C00049': -1, u'C03082': 1, u'C00002': -1, u'C00008': 1}",19.08,2.96,19.08,3.85,C00002 + C00049 <=> C00008 + C03082
"{u'C01879': 1, u'C17586': 1, u'C18005': -1}",-29.63,2.6,-46.74,-12.58,C18005 <=> C01879 + C17586
"{u'C04395': 1, u'C00008': 1, u'C03959': -1, u'C00002': -1}",5.47,0.0,5.47,1.1,C00002 + C03959 <=> C00008 + C04395
"{u'C00448': -1, u'C00013': 1, u'C19749': 1}",-180.4,5.63,-197.52,-53.15,C00448 <=> C00013 + C19749
"{u'C00014': 1, u'C00080': 1, u'C00003': -1, u'C00004': 1, u'C00407': -1, u'C00001': -1, u'C00671': 1}",30.32,3.54,13.21,2.13,C00001 + C00003 + C00407 <=> C00004 + C00014 + C00080 + C00671
"{u'C18037': -1, u'C09190': 1}",-170.27,1.1,-170.27,-68.72,C18037 <=> C09190
"{u'C19489': -1, u'C19490': 1, u'C00001': -1}",-0.0,0.0,-0.0,-0.0,C00001 + C19489 <=> C19490
"{u'C03943': 1, u'C00515': -1}",4.04,2.96,4.04,1.63,C00515 <=> C03943
"{u'C00008': 1, u'C02067': -1, u'C00002': -1, u'C01168': 1}",-13.2,1.22,-13.2,-2.66,C00002 + C02067 <=> C00008 + C01168
"{u'C00054': 1, u'C19562': 1, u'C19561': -1, u'C00053': -1}",-245.59,70710.68,-245.59,-49.56,C00053 + C19561 <=> C00054 + C19562
"{u'C11956': -1, u'C11921': -1, u'C00363': 1, u'C11958': 1}",-17.3,2.19,-17.3,-3.49,C11921 + C11956 <=> C00363 + C11958
"{u'C11545': -1, u'C05773': 1}",105.36,0.0,105.36,42.53,C11545 <=> C05773
"{u'C01761': 1, u'C00006': -1, u'C00005': 1, u'C11808': -1, u'C00080': 1}",-47.98,0.0,-47.98,-9.68,C00006 + C11808 <=> C00005 + C00080 + C01761
"{u'C05625': -1, u'C00190': -1, u'C00015': 1, u'C10175': 1}",-16.5,1.81,-16.5,-3.33,C00190 + C05625 <=> C00015 + C10175
"{u'C00004': 1, u'C00003': -1, u'C09819': -1, u'C09820': 1, u'C00080': 1}",18.14,0.98,18.14,3.66,C00003 + C09819 <=> C00004 + C00080 + C09820
"{u'C00010': 1, u'C00245': -1, u'C01794': -1, u'C05122': 1}",-143.64,2.53,-143.64,-28.99,C00245 + C01794 <=> C00010 + C05122
"{u'C04638': -1, u'C18059': 1, u'C00063': -1, u'C00013': 1}",-3.95,1.65,-3.95,-0.8,C00063 + C04638 <=> C00013 + C18059
"{u'C00717': -1, u'C00006': -1, u'C00005': 1, u'C01370': 1, u'C00080': 1}",36.79,0.0,36.79,7.43,C00006 + C00717 <=> C00005 + C00080 + C01370
"{u'C00239': 1, u'C00001': -1, u'C00009': 1, u'C00705': -1}",-25.15,2.98,-42.26,-11.37,C00001 + C00705 <=> C00009 + C00239
"{u'C00014': 1, u'C00740': -1, u'C00022': 1}",-28.13,2.95,-45.24,-12.17,C00740 <=> C00014 + C00022
"{u'C06210': 1, u'C00033': -1, u'C00001': 1, u'C00596': -1}",64.76,1.41,81.87,22.03,C00033 + C00596 <=> C00001 + C06210
"{u'C00066': 1, u'C00344': -1, u'C04482': 1, u'C01931': -1}",0.0,0.0,0.0,0.0,C00344 + C01931 <=> C00066 + C04482
"{u'C00025': 1, u'C05773': -1, u'C00009': 1, u'C00008': 1, u'C19724': 1, u'C00064': -1, u'C00001': -1, u'C00002': -1}",-38.43,0.0,-55.55,-6.41,C00001 + C00002 + C00064 + C05773 <=> C00008 + C00009 + C00025 + C19724
"{u'C00003': -1, u'C00080': 1, u'C00848': 1, u'C00004': 1, u'C03092': -1}",3.82,1.54,3.82,0.77,C00003 + C03092 <=> C00004 + C00080 + C00848
"{u'C00013': 1, u'C00353': -1, u'C09094': 1, u'C00001': -1}",-27.38,2.43,-44.5,-11.97,C00001 + C00353 <=> C00013 + C09094
"{u'C00022': -1, u'C00011': 1, u'C06006': 1, u'C00109': -1}",-19.79,4.96,-19.79,-3.99,C00022 + C00109 <=> C00011 + C06006
"{u'C00116': -1, u'C00008': 1, u'C00093': 1, u'C00002': -1}",-16.5,2.1,-16.5,-3.33,C00002 + C00116 <=> C00008 + C00093
"{u'C00072': -2.0, u'C00004': 1, u'C00003': -1, u'C01041': 2.0, u'C00080': 1}",-87.74,200000.0,-87.74,-11.8,C00003 + 2 C00072 <=> C00004 + C00080 + 2 C01041
"{u'C00019': -1, u'C00155': -1, u'C00021': 1, u'C00073': 1}",8.69,100000.0,8.69,1.75,C00019 + C00155 <=> C00021 + C00073
"{u'C15610': -1, u'C00080': -2.0, u'C00007': -2.0, u'C00006': 2.0, u'C00005': -2.0, u'C00001': 3.0, u'C17333': 1}",-931.21,6.36,-896.98,-90.51,2 C00005 + 2 C00007 + 2 C00080 + C15610 <=> 3 C00001 + 2 C00006 + C17333
"{u'C00111': 1, u'C03785': -1, u'C00118': 1}",19.63,2.24,2.51,0.68,C03785 <=> C00111 + C00118
"{u'C03906': -1, u'C00935': 1, u'C00013': 1, u'C00075': -1}",-1.25,1.75,-1.25,-0.25,C00075 + C03906 <=> C00013 + C00935
"{u'C00010': 1, u'C00083': -1, u'C12138': -1, u'C16301': 1}",-3.44,2.17,-3.44,-0.69,C00083 + C12138 <=> C00010 + C16301
"{u'C15606': 1, u'C00001': -1, u'C00009': 1, u'C15651': -1}",-13.08,1.23,-30.2,-8.13,C00001 + C15651 <=> C00009 + C15606
"{u'C00007': -1, u'C00477': -1, u'C00027': 1, u'C02513': 1}",-127.11,4.43,-127.11,-25.65,C00007 + C00477 <=> C00027 + C02513
"{u'C00751': -1, u'C19834': 1}",-283.14,300000.0,-283.14,-114.28,C00751 <=> C19834
"{u'C00025': 1, u'C00026': -1, u'C00506': -1, u'C05528': 1}",-8.48,1.84,-8.48,-1.71,C00026 + C00506 <=> C00025 + C05528
"{u'C00025': 1, u'C00135': -1, u'C00026': -1, u'C03277': 1}",-12.56,1.61,-12.56,-2.53,C00026 + C00135 <=> C00025 + C03277
"{u'C00231': 1, u'C00085': -1, u'C00118': -1, u'C00279': 1}",10.11,1.94,10.11,2.04,C00085 + C00118 <=> C00231 + C00279
"{u'C00019': -1, u'C06629': 1, u'C18295': -1, u'C00021': 1}",-14.79,100000.0,-14.79,-2.98,C00019 + C18295 <=> C00021 + C06629
"{u'C00030': -1, u'C00007': -1, u'C00028': 1, u'C00001': 1, u'C11894': -1, u'C11895': 1}",84.91,0.0,102.03,16.47,C00007 + C00030 + C11894 <=> C00001 + C00028 + C11895
"{u'C00080': -1, u'C00007': -1, u'C11348': 1, u'C00004': -1, u'C00003': 1, u'C07111': -1, u'C00001': 1}",-394.88,3.09,-377.76,-60.99,C00004 + C00007 + C00080 + C07111 <=> C00001 + C00003 + C11348
"{u'C00197': 1, u'C01231': 1, u'C00236': -1, u'C00103': -1}",-37.33,3.15,-37.33,-7.53,C00103 + C00236 <=> C00197 + C01231
"{u'C00007': -1, u'C01993': -2.0, u'C11631': 2.0}",-538.14,3.4,-521.02,-84.12,C00007 + 2 C01993 <=> 2 C11631
"{u'C00019': -1, u'C16709': 1, u'C16708': -1, u'C00021': 1}",-41.64,0.0,-41.64,-8.4,C00019 + C16708 <=> C00021 + C16709
"{u'C00003': -1, u'C00004': 1, u'C05448': -1, u'C05449': 1, u'C00080': 1}",18.14,0.98,18.14,3.66,C00003 + C05448 <=> C00004 + C00080 + C05449
"{u'C03999': -1, u'C00009': 1, u'C00008': 1, u'C00133': -1, u'C00002': -1, u'C04457': 1}",-23.73,2.43,-23.73,-3.19,C00002 + C00133 + C03999 <=> C00008 + C00009 + C04457
"{u'C00120': 1, u'C00047': 1, u'C05552': -1, u'C00001': -1}",3.74,2.16,-13.38,-3.6,C00001 + C05552 <=> C00047 + C00120
"{u'C04895': -1, u'C05925': 1, u'C00013': 1, u'C00001': -1}",-43.29,2.52,-60.41,-16.25,C00001 + C04895 <=> C00013 + C05925
"{u'C00030': 1, u'C00794': -1, u'C00028': -1, u'C00247': 1}",-84.92,0.0,-84.92,-17.14,C00028 + C00794 <=> C00030 + C00247
"{u'C01028': 1, u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C00047': -1}",-218.93,100000.0,-201.82,-32.58,C00005 + C00007 + C00047 + C00080 <=> C00001 + C00006 + C01028
"{u'C06390': -1, u'C06392': 1, u'C00001': 1}",-86.87,3.38,-86.87,-35.06,C06390 <=> C00001 + C06392
"{u'C14099': -1, u'C00080': 1, u'C14101': 1, u'C00004': 1, u'C00003': -1, u'C00001': -1}",-41.61,1.12,-41.61,-8.4,C00001 + C00003 + C14099 <=> C00004 + C00080 + C14101
"{u'C00004': 1, u'C00080': 1, u'C04435': -1, u'C00003': -1, u'C00001': -1, u'C11944': 1}",-41.62,1.12,-41.62,-8.4,C00001 + C00003 + C04435 <=> C00004 + C00080 + C11944
"{u'C00001': -1, u'C00009': 1, u'C04063': 1, u'C01243': -1}",-8.45,1.4,-25.57,-6.88,C00001 + C01243 <=> C00009 + C04063
"{u'C00139': 1, u'C00138': -1, u'C00007': -1, u'C05489': 1, u'C05487': -1, u'C00001': 1}",-381.04,4.4,-363.92,-58.75,C00007 + C00138 + C05487 <=> C00001 + C00139 + C05489
"{u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C06584': -1, u'C06585': 1}",-317.65,6.61,-300.54,-48.52,C00005 + C00007 + C00080 + C06584 <=> C00006 + C06585
"{u'C00007': -1, u'C18252': 1, u'C18250': -1}",-365.73,200000.0,-348.61,-93.8,C00007 + C18250 <=> C18252
"{u'C00019': -1, u'C00170': 1, u'C00927': 1, u'C01739': -1}",-13.67,100000.0,-13.67,-2.76,C00019 + C01739 <=> C00170 + C00927
"{u'C00054': 1, u'C00053': -1, u'C05299': -1, u'C08358': 1}",-290.26,70710.68,-290.26,-58.58,C00053 + C05299 <=> C00054 + C08358
"{u'C11588': -1, u'C00003': -1, u'C04044': 1, u'C00004': 1, u'C00080': 1}",-29.13,5.85,-29.13,-5.88,C00003 + C11588 <=> C00004 + C00080 + C04044
"{u'C00003': -1, u'C00004': 1, u'C00685': 1, u'C01271': -1, u'C00080': 1}",40.03,0.0,40.03,8.08,C00003 + C01271 <=> C00004 + C00080 + C00685
"{u'C00086': 1, u'C02170': 1, u'C00001': -2.0, u'C05281': -1}",-44.95,0.0,-62.06,-16.7,2 C00001 + C05281 <=> C00086 + C02170
"{u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 2.0, u'C01189': -1, u'C01164': 1}",-443.81,8.36,-426.69,-68.89,C00005 + C00007 + C00080 + C01189 <=> 2 C00001 + C00006 + C01164
"{u'C00019': -1, u'C00021': 1, u'C05903': -1, u'C05902': 1}",-10.6,100000.0,-10.6,-2.14,C00019 + C05903 <=> C00021 + C05902
"{u'C00006': -1, u'C00005': 1, u'C00080': 1, u'C00272': -1, u'C04244': 1}",18.49,1.0,18.49,3.73,C00006 + C00272 <=> C00005 + C00080 + C04244
"{u'C18064': 1, u'C00011': 1, u'C18063': -1}",44.88,0.0,27.77,7.47,C18063 <=> C00011 + C18064
"{u'C11526': 1, u'C00002': -1, u'C01204': -1, u'C00008': 1}",5.8,1.28,5.8,1.17,C00002 + C01204 <=> C00008 + C11526
"{u'C00080': 1, u'C00004': 1, u'C00003': -1, u'C05650': -1, u'C05649': 1}",-44.59,0.0,-44.59,-9.0,C00003 + C05650 <=> C00004 + C00080 + C05649
"{u'C01345': 1, u'C01344': -1, u'C00002': -1, u'C00008': 1}",2.63,1.26,2.63,0.53,C00002 + C01344 <=> C00008 + C01345
"{u'C09817': 1, u'C00042': 1, u'C00091': -1, u'C09816': -1}",-3.12,1.64,-3.12,-0.63,C00091 + C09816 <=> C00042 + C09817
"{u'C00029': -1, u'C00094': -1, u'C00001': 1, u'C11521': 1}",-306.15,70710.68,-289.03,-77.77,C00029 + C00094 <=> C00001 + C11521
"{u'C00027': 1, u'C00014': 1, u'C00007': -1, u'C00001': -1, u'C01888': -1, u'C00546': 1}",-96.57,4.81,-113.68,-18.35,C00001 + C00007 + C01888 <=> C00014 + C00027 + C00546
"{u'C00007': -1, u'C15523': 1, u'C00027': 1, u'C00001': -1, u'C01020': -1}",-114.82,4.64,-114.82,-23.17,C00001 + C00007 + C01020 <=> C00027 + C15523
"{u'C00011': 1, u'C00148': -1, u'C00026': -1, u'C00007': -1, u'C01157': 1, u'C00042': 1}",-463.59,9.35,-463.59,-62.37,C00007 + C00026 + C00148 <=> C00011 + C00042 + C01157
"{u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C05658': 1, u'C00001': 1, u'C00463': -1}",-449.23,5.91,-432.12,-69.76,C00005 + C00007 + C00080 + C00463 <=> C00001 + C00006 + C05658
"{u'C00006': -1, u'C00005': 1, u'C00048': 1, u'C00160': -1, u'C00080': 1}",42.27,0.93,42.27,8.53,C00006 + C00160 <=> C00005 + C00048 + C00080
"{u'C00230': 1, u'C02637': -1, u'C00001': 1}",-134.7,5.9,-134.7,-54.37,C02637 <=> C00001 + C00230
"{u'C05804': 1, u'C00019': -1, u'C00021': 1, u'C05803': -1}",6.95,100000.0,6.95,1.4,C00019 + C05803 <=> C00021 + C05804
"{u'C00025': 1, u'C04076': 1, u'C00080': 1, u'C00004': 1, u'C00003': -1, u'C00449': -1, u'C00001': -1}",33.62,3.05,16.51,2.67,C00001 + C00003 + C00449 <=> C00004 + C00025 + C00080 + C04076
"{u'C15814': -1, u'C15815': 1}",0.0,0.0,0.0,0.0,C15814 <=> C15815
"{u'C00167': -1, u'C11135': 1, u'C00015': 1, u'C00523': -1}",-13.9,2.11,-13.9,-2.8,C00167 + C00523 <=> C00015 + C11135
"{u'C00940': 1, u'C00079': 1, u'C00166': -1, u'C00064': -1}",-11.21,3.09,-11.21,-2.26,C00064 + C00166 <=> C00079 + C00940
"{u'C00010': -1, u'C00009': 1, u'C00008': 1, u'C00002': -1, u'C16268': 1, u'C16267': -1}",0.11,1.43,0.11,0.02,C00002 + C00010 + C16267 <=> C00008 + C00009 + C16268
"{u'C02683': -2.0, u'C00004': -1, u'C00003': 1, u'C02685': 2.0, u'C00080': 1}",-40.03,0.0,-40.03,-5.39,C00004 + 2 C02683 <=> C00003 + C00080 + 2 C02685
"{u'C00086': 1, u'C02294': -1, u'C00001': -1, u'C00218': 1}",-50.9,6.48,-68.01,-18.3,C00001 + C02294 <=> C00086 + C00218
"{u'C05714': -1, u'C00014': 1, u'C01401': 1, u'C00001': -2.0}",11.43,70710.68,-5.68,-1.53,2 C00001 + C05714 <=> C00014 + C01401
"{u'C01228': 1, u'C04494': -1, u'C00001': -1, u'C00009': 1}",-23.03,1.27,-40.15,-10.8,C00001 + C04494 <=> C00009 + C01228
"{u'C18279': 1, u'C18270': -1}",-111.56,5.18,-111.56,-45.03,C18270 <=> C18279
"{u'C00080': 1, u'C00633': -1, u'C00004': 1, u'C00003': -1, u'C00001': -1, u'C00156': 1}",-39.07,1.12,-39.07,-7.88,C00001 + C00003 + C00633 <=> C00004 + C00080 + C00156
"{u'C00011': 1, u'C01352': 1, u'C00527': -1, u'C00877': 1, u'C00016': -1}",34.23,5.0,17.12,2.76,C00016 + C00527 <=> C00011 + C00877 + C01352
"{u'C06393': -1, u'C00014': 2.0, u'C00001': -1, u'C00022': 1}",-4.61,3.6,-38.84,-7.84,C00001 + C06393 <=> 2 C00014 + C00022
"{u'C16480': 1, u'C00080': -1, u'C00007': -1, u'C02371': -1, u'C00004': -1, u'C00003': 1}",-226.03,100000.0,-208.91,-33.73,C00004 + C00007 + C00080 + C02371 <=> C00003 + C16480
"{u'C00010': 1, u'C02990': 1, u'C00318': -1, u'C00154': -1}",1.87,2.96,1.87,0.38,C00154 + C00318 <=> C00010 + C02990
"{u'C00313': -1, u'C00011': 1, u'C00798': 1}",-15.32,5.62,-32.43,-8.73,C00313 <=> C00011 + C00798
"{u'C00006': -1, u'C00005': 1, u'C04518': -1, u'C01176': 1, u'C00080': 1}",18.32,1.0,18.32,3.7,C00006 + C04518 <=> C00005 + C00080 + C01176
"{u'C00885': -1, u'C00001': -1, u'C04171': 1, u'C00022': 1}",-43.53,2.81,-60.65,-16.32,C00001 + C00885 <=> C00022 + C04171
"{u'C00036': 1, u'C00014': 1, u'C00001': -1, u'C02362': -1}",-7.81,2.56,-24.92,-6.71,C00001 + C02362 <=> C00014 + C00036
"{u'C00049': 1, u'C00014': 1, u'C02512': -1, u'C00001': -2.0}",-1.27,70710.68,-18.38,-4.95,2 C00001 + C02512 <=> C00014 + C00049
"{u'C00013': 1, u'C02569': -1, u'C19818': 1}",-196.34,6.81,-213.45,-57.43,C02569 <=> C00013 + C19818
"{u'C00006': 1, u'C00005': -1, u'C02199': 1, u'C17328': -1, u'C00080': -1}",-3.99,1.56,-3.99,-0.81,C00005 + C00080 + C17328 <=> C00006 + C02199
"{u'C00011': 1, u'C00026': -1, u'C00007': -1, u'C00001': 1, u'C00042': 1, u'C06658': -1, u'C06659': 1}",-595.29,12.7,-595.29,-80.09,C00007 + C00026 + C06658 <=> C00001 + C00011 + C00042 + C06659
"{u'C00010': 1, u'C05337': -1, u'C00245': -1, u'C05465': 1}",-29.25,1.86,-29.25,-5.9,C00245 + C05337 <=> C00010 + C05465
"{u'C01352': 1, u'C05731': 1, u'C00016': -1, u'C00089': -1}",-6.75,4.56,-6.75,-1.36,C00016 + C00089 <=> C01352 + C05731
"{u'C00313': 1, u'C00058': 1, u'C00209': -1, u'C00798': -1}",0.36,5.84,0.36,0.07,C00209 + C00798 <=> C00058 + C00313
"{u'C00007': -1, u'C08576': 1, u'C00001': 1, u'C06561': -1}",-696.58,100000.0,-679.46,-182.83,C00007 + C06561 <=> C00001 + C08576
"{u'C00080': -1, u'C00007': -1, u'C00004': -1, u'C00003': 1, u'C00001': 1, u'C01467': -1, u'C03351': 1}",-385.91,3.47,-368.8,-59.54,C00004 + C00007 + C00080 + C01467 <=> C00001 + C00003 + C03351
"{u'C00151': -1, u'C00405': 1}",0.0,0.0,0.0,0.0,C00151 <=> C00405
"{u'C16505': -1, u'C00132': 1, u'C00001': -1, u'C16506': 1}",-7.83,3.58,-24.95,-6.71,C00001 + C16505 <=> C00132 + C16506
"{u'C00001': -1, u'C09811': -1, u'C09812': 1}",86.87,3.38,86.87,35.06,C00001 + C09811 <=> C09812
"{u'C00006': -1, u'C00005': 1, u'C00097': -1, u'C05526': 1, u'C00051': -1}",7.43,4.33,24.55,3.96,C00006 + C00051 + C00097 <=> C00005 + C05526
"{u'C00763': 1, u'C00148': -1}",-3.4,7.84,-3.4,-1.37,C00148 <=> C00763
"{u'C01382': 1, u'C01060': -1, u'C02515': 1, u'C05590': -1}",45.75,0.0,45.75,9.23,C01060 + C05590 <=> C01382 + C02515
"{u'C05840': 1, u'C00049': -1, u'C00004': 1, u'C00003': -1, u'C00080': 1}",61.83,2.4,61.83,12.48,C00003 + C00049 <=> C00004 + C00080 + C05840
"{u'C00615': 1, u'C00934': 1, u'C04261': -1, u'C11477': -1}",0.0,0.0,0.0,0.0,C04261 + C11477 <=> C00615 + C00934
"{u'C04522': -1, u'C03585': 1}",-8.98,3.56,-8.98,-3.63,C04522 <=> C03585
"{u'C00010': 1, u'C00024': -1, u'C00292': -1, u'C07565': 1}",-18.27,3.12,-18.27,-3.69,C00024 + C00292 <=> C00010 + C07565
"{u'C12637': 1, u'C00190': -1, u'C00015': 1, u'C05623': -1}",-16.5,1.81,-16.5,-3.33,C00190 + C05623 <=> C00015 + C12637
"{u'C00006': -1, u'C00005': 1, u'C00080': 1, u'C01236': 1, u'C00092': -1}",-5.6,1.33,-5.6,-1.13,C00006 + C00092 <=> C00005 + C00080 + C01236
"{u'C00006': -1, u'C00005': 1, u'C00080': 1, u'C00424': 1, u'C00583': -1}",30.16,1.48,30.16,6.09,C00006 + C00583 <=> C00005 + C00080 + C00424
"{u'C04874': -1, u'C01300': 1, u'C00266': 1}",12.04,2.31,-5.07,-1.36,C04874 <=> C00266 + C01300
"{u'C00011': 1, u'C00026': -1, u'C09614': -1, u'C00007': -1, u'C00042': 1, u'C01378': 1}",-460.43,4.8,-460.43,-61.94,C00007 + C00026 + C09614 <=> C00011 + C00042 + C01378
"{u'C00014': 1, u'C00001': -1, u'C14149': 1, u'C14148': -1}",-0.51,100000.0,-17.62,-4.74,C00001 + C14148 <=> C00014 + C14149
"{u'C11131': 1, u'C00167': -1, u'C00015': 1, u'C05302': -1}",-66.02,2.52,-66.02,-13.32,C00167 + C05302 <=> C00015 + C11131
"{u'C00011': 2.0, u'C00019': -2.0, u'C05198': 2.0, u'C00073': 2.0, u'C01079': 1, u'C03263': -1}",52.36,200000.0,-16.1,-1.3,2 C00019 + C03263 <=> 2 C00011 + 2 C00073 + C01079 + 2 C05198
"{u'C00008': 1, u'C01822': -1, u'C03281': 1, u'C00002': -1}",6.53,1.39,6.53,1.32,C00002 + C01822 <=> C00008 + C03281
"{u'C00080': 1, u'C00004': 1, u'C00003': -1, u'C00001': -1, u'C03765': -1, u'C00642': 1}",-41.63,1.12,-41.63,-8.4,C00001 + C00003 + C03765 <=> C00004 + C00080 + C00642
"{u'C00080': 1, u'C00006': -1, u'C00005': 1, u'C00118': -1, u'C00001': -1, u'C00197': 1}",-42.31,0.54,-42.31,-8.54,C00001 + C00006 + C00118 <=> C00005 + C00080 + C00197
"{u'C00011': 1, u'C00079': -1, u'C05332': 1}",-28.07,5.04,-45.18,-12.16,C00079 <=> C00011 + C05332
"{u'C00007': -1, u'C07102': 1, u'C00004': -2.0, u'C00003': 2.0, u'C06600': -1, u'C01328': 1, u'C00698': 1}",48.2,0.0,31.08,2.79,2 C00004 + C00007 + C06600 <=> 2 C00003 + C00698 + C01328 + C07102
"{u'C00080': 1, u'C05610': -1, u'C00004': 1, u'C00003': -1, u'C00001': -1, u'C00482': 1}",-44.47,2.09,-44.47,-8.97,C00001 + C00003 + C05610 <=> C00004 + C00080 + C00482
"{u'C00047': -1, u'C01142': 1}",-4.58,2.09,-4.58,-1.85,C00047 <=> C01142
"{u'C00006': 1, u'C00005': -1, u'C00783': -1, u'C02066': 1, u'C00080': -1}",-3.95,1.56,-3.95,-0.8,C00005 + C00080 + C00783 <=> C00006 + C02066
"{u'C17017': 1, u'C17010': -1}",-84.91,0.0,-84.91,-34.27,C17010 <=> C17017
"{u'C18042': -1, u'C00006': -1, u'C00005': 1, u'C13712': 1, u'C00080': 1}",18.32,1.0,18.32,3.7,C00006 + C18042 <=> C00005 + C00080 + C13712
