,reaction_id,galactose,acetate,pyruvate,glycerol,fructose,succinate,glucose
116,3OAR180,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
117,3OAR180_reverse,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
118,3OAR181,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
119,3OAR40,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
120,3OAR40_reverse,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
121,3OAR60,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
122,3OAR60_reverse,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
123,3OAR80,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
124,3OAR80_reverse,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
125,3OAS100,0.0013541647,0.0011355957,0.0013476003,0.0013093018,0.0010649728,0.0013609017,0.0011630229
126,3OAS120,0.0013541647,0.0011355957,0.0013476003,0.0013093018,0.0010649728,0.0013609017,0.0011630229
127,3OAS121,0.0011632523,0.0010192132,0.0012108715,0.0011339,0.0008988461,0.0011765715,0.0010168435
128,3OAS140,0.0013541647,0.0011355957,0.0013476003,0.0013093018,0.0010649728,0.0013609017,0.0011630229
129,3OAS141,0.0011632523,0.0010192132,0.0012108715,0.0011339,0.0008988461,0.0011765715,0.0010168435
130,3OAS160,0.0013541647,0.0011355957,0.0013476003,0.0013093018,0.0010649728,0.0013609017,0.0011630229
131,3OAS161,0.0011632523,0.0010192132,0.0012108715,0.0011339,0.0008988461,0.0011765715,0.0010168435
132,3OAS180,0.0013541647,0.0011355957,0.0013476003,0.0013093018,0.0010649728,0.0013609017,0.0011630229
